sample_id,gene,expression,coverage,quality_score
S024,GENE_0009,4.842,431,33.2
S024,GENE_0010,5.939,257,25.2
S024,GENE_0011,7.978,486,32.7
S024,GENE_0012,4.061,311,27.6
S024,GENE_0013,5.010,64,38.7
S024,GENE_0014,1.849,380,20.6
S024,GENE_0015,2.790,138,31.9
S024,GENE_0016,6.259,483,37.4
S024,GENE_0017,6.043,470,31.0
S024,GENE_0018,4.771,222,27.9
S024,GENE_0019,5.766,308,35.7
S024,GENE_0020,2.920,379,22.2
S024,GENE_0021,4.928,75,27.1
S024,GENE_0022,5.437,192,36.2
S024,GENE_0023,4.592,411,31.5
S024,GENE_0024,1.521,488,23.4
S024,GENE_0025,3.405,301,28.5
S024,GENE_0026,5.240,160,21.6
S024,GENE_0027,4.067,212,26.6
S024,GENE_0028,1.493,190,24.6
S024,GENE_0029,4.059,158,26.3
S024,GENE_0030,1.861,173,31.9
